service_at_location_id,service_name,organization_name,city
211onedegr-12075_211onedegr-4860,Get Free Food,St. Paul'S United Methodist Church,Coronado
211onedegr-7322_211onedegr-15808,Get Free Food,Lutheran Social Services - San Diego,San Diego
211orangec-95902738,United Resource Center,Urc - United Resource Center,La Mesa
211onedegr-10180_211onedegr-19593,Get Resettlement Services For Refugees In The U.S.,International Rescue Committee,San Diego
211charles-0ee1d5e7-e3e6-41e9-be42-362bb9c07362,Medical Care Expense Assistance,Fresh Start Surgical Gifts,Carlsbad
211charles-01eb9608-b6b0-4de1-a0a4-f239ea77460c,Plastic / Reconstructive Surgery,Fresh Start Surgical Gifts,Carlsbad
211onedegr-6951_211onedegr-4860,Attend A Spiritual Retreat For Women ,St. Paul'S United Methodist Church,Coronado
211onedegr-6952_211onedegr-4860,Join A Music Ministry ,St. Paul'S United Methodist Church,Coronado
211onedegr-12074_211onedegr-4860,Get A Free Hot Dinner,St. Paul'S United Methodist Church,Coronado
211onedegr-6947_211onedegr-4860,Join A Children Or Youth Ministry,St. Paul'S United Methodist Church,Coronado
211sonoma-97502491,Calaim Community Supports - Mom'S Meals,Partnership Health Plan Of California,La Jolla
211humbold-62614945,Syringe Exchange Program,Humboldt Area Center For Harm Reduction,Eureka
211sonoma-96120924,Calaim Community Supports - Serene Health Ipa,Partnership Health Plan Of California,San Diego
211onedegr-6948_211onedegr-4860,Join A Book Club For Women,St. Paul'S United Methodist Church,Coronado
211onedegr-6954_211onedegr-4860,Get Free Clothing ,St. Paul'S United Methodist Church,Coronado
211sofcali-79141046,Disaster Response Services,International Relief Teams,San Diego
211peoria-4936-1187,Autism Research Institute (WEB BASED DISCUSSION GROUPS/LIVE CHAT),Autism Research Institute,San Diego
211orangec-94284947,Resource Center,Emilio Nares Foundation,San Diego
211rochest-7339144,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Carlsbad
211lantana-2806-3614,Fresh Start Surgical Gifts (PLASTIC/RECONSTRUCTIVE SURGERY),Fresh Start Surgical Gifts,Carlsbad
211utica-31069195,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Carlsbad
inlandempi-7428903,Fresh Start Surgical Gifts,Fresh Start Surgical Gifts,Carlsbad
211alameda-82586294,Fruitvale Farmers Market,The Unity Council,Oakland
211tallaha-188-86,Autism Research Institute,Autism Research Institute,San Diego
211miami-25857-9076,Va Home Loan Centers (VETERAN HOME LOANS),Va Home Loan Centers,San Diego
211orlando-351775,Veterans Services,Semper Fi Fund,Oceanside
211onedegr-20895_211onedegr-15808,Get Social Companionship For Seniors,Lutheran Social Services - San Diego,San Diego
inlandempi-77067729,Michelle'S Place Cancer Resource Center,Michelles Place Cancer Resource Center,Fallbrook
211onedegr-21458_211onedegr-19550,Get Assistance For Those Deported To Mexico,Al Otro Lado,San Ysidro
211cedarkn-63469257,Helping You Help Veterans Support Center,Psycharmor Institute,San Diego
211onedegr-22008_211onedegr-16182,Access Support Services For Lgbt Youth,The San Diego Lgbt Community Center,San Diego
211onedegr-22008_211onedegr-20752,Access Support Services For Lgbt Youth,The San Diego Lgbt Community Center,Chula Vista
211orangec-71622551,Disability Compensation,United States Department Of Veterans Affairs,San Diego
211akron-279122,Assistance For Vietnam Veterans,Semper Fi Fund,Oceanside
211onedegr-10347_211onedegr-6917,Get Housing For Women Survivors Of Human Trafficking,Sds Hope House,Oceanside
211tularec-27359949,Transitional Housing Program,Operation Homefront,Oceanside
211onedegr-6399_211onedegr-23241,Get Access To A Free Hotel Stay For Wounded Service Members And Their Families,Fisher House Foundation,Oceanside
211onedegr-8925_211onedegr-14558,Get Help With A Housing Search,Healthright 360,Escondido
211seattle-24697-11756,Senior Affordable Housing Offered By Fairfield,Fairfield,San Diego
211provide-72168355,Fairfield Residential Income Restricted Housing,Fairfield Residential,Providence
211onedegr-6399_211onedegr-23244,Get Access To A Free Hotel Stay For Wounded Service Members And Their Families,Fisher House Foundation,San Diego
211onedegr-10320_211onedegr-6904,Get Legal Advice On Housing And Eviction Issues,California Rural Legal Assistance,Vista
211orangec-71622558,Disability Housing Grants For Veterans,United States Department Of Veterans Affairs,San Diego
211onedegr-13229_211onedegr-19172,Get Help With Finding Long Term Housing,The Salvation Army Of Southern California,San Diego
211onedegr-20925_211onedegr-24808,Get Help Applying For Public Benefits,Lutheran Social Services - Central City Lutheran Mission (CCLM),San Diego
211onedegr-20896_211onedegr-15808,Get Help Applying For Public Benefits,Lutheran Social Services - San Diego,San Diego
211onedegr-21463_211onedegr-19550,"Attend A Border Rights Clinic In Tijuana, Mexico",Al Otro Lado,San Ysidro
211onedegr-16992_211onedegr-19593,Get Help With Rent And A New Home For Refugees,International Rescue Committee,San Diego
211sanjoaq-94285454,Semper Fi And America'S Fund Housing Insecurity Program,Semper Fi And America'S Fund,Oceanside
211onedegr-20893_211onedegr-15808,Get Counseling On Home Ownership And Rental Issues,Lutheran Social Services - San Diego,San Diego
211onedegr-20928_211onedegr-24808,Get Counseling On Home Ownership And Rental Issues,Lutheran Social Services - Central City Lutheran Mission (CCLM),San Diego
211orangec-79650877,Welcome Home Fund For Vietnam Veterans,Semper Fi & America'S Fund,Oceanside
211ventura-18611686,Financial Wellness Counseling,Support The Enlisted Project (STEP),
211humbold-52859925,Oepration Homefront Villages,Operation Homefront,San Diego
211sofcali-55664259,Critical Assistance Program,Operation Homefront,San Diego
211onedegr-15477_211onedegr-15808,Get Homeless Support Services,Lutheran Social Services - San Diego,San Diego
211orangec-95356981,Enhanced Care Management,Care Choice Health Systems Inc,Vista
211orangec-95356978,Non-Medical Homecare,Care Choice Health Systems Inc,Vista
211onedegr-8465_211onedegr-24719,Get Free Rehab Services For Alcohol And Drug Use,The Salvation Army Of Southern California,San Diego
211sonoma-96120974,Calaim Enhanced Care Management - Serene Health Ipa,Partnership Health Plan Of California,San Diego
211minneap-36931737,Victim/Consumer Direct Assistance,Identity Theft Resource Center,El Cajon
211onedegr-12702_211onedegr-16680,Get Funding For Child Care,Children'S Home Society Of California ,San Diego
211onedegr-12700_211onedegr-16680,Get Free Help In Finding Child Care ,Children'S Home Society Of California ,San Diego
211onedegr-20892_211onedegr-15808,Get Home Repairs For Seniors Or Individuals With Disabilities,Lutheran Social Services - San Diego,San Diego
211onedegr-1962_211onedegr-14066,Get Help For First Time Homebuyers,Money Management International,San Diego
inlandempi-79605086,Military Transition Support,Zero8hundred,San Diego
211tallaha-1296-1199,Semper Fi & America'S Fund,Semper Fi & America'S Fund,Camp Pendleton
211onedegr-20039_211onedegr-16180,Get Behavioral Health Services For The Lgbt Community,The San Diego Lgbt Community Center,San Diego
211onedegr-20030_211onedegr-22482,Get Assistance With Special Education For Children With Disabilities,Task,Spring Valley
211akron-290072,Service Member And Family Financial Support,Semper Fi Fund,Oceanside
211akron-279137,Caregiver Support And Retreats,Semper Fi Fund,Oceanside
211onedegr-8634_211onedegr-10894,Get Low-Cost Legal Help For Immigrant Survivors Of Domestic Violence,Immigration Center For Women And Children (ICWC),San Diego
211onedegr-8632_211onedegr-10894,Get Low-Cost Legal Services For Undocumented Children,Immigration Center For Women And Children (ICWC),San Diego
211columbi-sal_4a899de0b5d8bc8e4757_gqndl0,Transfamily Support Services,Transfamily Support Services,San Diego
211sofcali-55485705,Multiple Sclerosis Support Groups,National Multiple Sclerosis Society,San Diego
inlandempi-87984024,Support Groups,Transgender Health And Wellness Center,San Diego
211orangec-79650876,Service Member And Family Support,Semper Fi & America'S Fund,Oceanside
211siouxfa-79787122,Coaching And Educational Support Center,Psycharmor,San Diego
211orangec-72453173,Information And Support,American Lung Association In California - Orange County,San Diego
211omaha-91577544,Military Family Neighborhood Support Program,Blue Star Families,Encinitas
211sacrame-80678135,Information & Personal Support - End Of Life Choices California,End Of Life Choices California,
211orangec-47764467,Veteran Services,Foundation For Women Warriors,Vista
211onedegr-18940_211onedegr-4132,Apply For Return-To-Work Supplement Income ,California Department Of Industrial Relations,San Diego
211sofcali-75476463,Child Care On-Demand Services,Tootris,
211onedegr-10299_211onedegr-18851,Get Dental Services,Vista Community Clinic (VCC),Oceanside
211onedegr-10299_211onedegr-18854,Get Dental Services,Vista Community Clinic (VCC),Vista
211onedegr-998_211onedegr-14558,Get Individual Or Group Therapy For Mental Health Issues,Healthright 360,Escondido
211boise-9173-4307,Sign Language Interpretation,Network Interpreting Service,San Diego
211manches-41322,"Victim Assistance For Identity Compromise And Misuse, Scams, And Fraud",Identity Theft Resource Center,El Cajon
211colorad-a0h4T000002u0eAQAQ,Id Theft Prevention,Identity Theft Resource Center,
211onedegr-12066_211onedegr-12016,Get Financial Assistance For Individuals With Multiple Sclerosis,National Multiple Sclerosis Society,San Diego
inlandempi-40202876,Radon Program,United States Environmental Protection,San Diego
211akron-279148,Specialized And Adaptive Equipment,Semper Fi Fund,Oceanside
211alameda-63872899,Mothertobaby,Mothertobaby ,
211orangec-71622559,Gi Bill Benefits,United States Department Of Veterans Affairs,San Diego
211orangec-47996242,California State Assembly - 74th District - Assembly Member Laurie Davies,California State Assembly,Oceanside
211clearwa-264-242,"Veterans, Spouses, And Dependents Scholarship","National University, Corp.",San Diego
211onedegr-16994_211onedegr-19593,Learn Financial Literacy Skills For Refugees,International Rescue Committee,San Diego
211modesto-38012720,California Smokers Helpline,California Smokers Helpline,La Jolla
211yolo-73357111,Car Donations - Charitable Adult Rides & Services,Charitable Adult Rides & Services,San Diego
211sacrame-59653223,Car Donations - Charitable Adult Rides & Services,Charitable Adult Rides & Services,San Diego
211orangec-90178718,Donate Milk,University Of California Health Milk Bank,San Diego
211connect-17292973,Disaster Related Monetary Fund Management,International Relief Teams,San Diego
inlandempi-73501306,Employees Health Insurance Services,Employees Health Insurance Services,Del Mar
inlandempi-92435944,Women'S Health,Dap Health,Borrego Springs
inlandempi-92435685,Behavioral Health,Dap Health,Borrego Springs
inlandempi-92435937,Veteran'S Health,Dap Health,Borrego Springs
inlandempi-87894334,Mental Health ,Transgender Health And Wellness Center,San Diego
211modesto-35554187,"Employees Health Insurance Service, Inc.","Employees Health Insurance Service, Inc.",Del Mar
211santacl-61214063,Postpartum Depression Help Line,Postpartum Health Alliance Of Northern California,
unitedwayo-55115162,Aci Medical,Aci Medical,San Marcos
inlandempi-92435847,Primary Care ,Dap Health,Borrego Springs
inlandempi-92435910,Pediatric Care,Dap Health,Borrego Springs
inlandempi-73495477,Clinic,Valley Obgyn Medical Group,Oceanside
inlandempi-73503815,Medical Clinic,Vista Community Clinic,Vista
inlandempi-73503818,Dental Clinic,Vista Community Clinic,Vista
inlandempi-73503817,Behavioral Health Clinic,Vista Community Clinic,Vista
211boise-13765-4110,Als Clinics,National Hotlines,Calabasas Hills
211connect-17292970,Disaster Relief/Recovery Organizations,International Relief Teams,San Diego
inlandempi-7432471,Naval Hospital Camp Pendleton,Naval Hospital Camp Pendleton,Camp Pendleton
inlandempi-74415371,Developmental Services,Radys Childrens Hospital San Diego,San Diego
inlandempi-74415372,Primary Care Services,Radys Childrens Hospital San Diego,San Diego
inlandempi-74415373,Specialty Care Services,Radys Childrens Hospital San Diego,San Diego
211onedegr-19342_211onedegr-15719,Get Forensic Services For Adults Involved In The Criminal Justice System,Gateways Hospital & Mental Health Center,San Diego
211orangec-90298981,Milk Bank Store,University Of California Health Milk Bank,San Diego
211onedegr-19533_211onedegr-16180,Get Support Services For Latin@ Transgender People ,The San Diego Lgbt Community Center,San Diego
inlandempi-7428714,Patient Services,California Lupus Foundation,San Diego
211modesto-52967462,Nurse On Call Service,American Melanoma Foundation,San Diego
211newark-252823,Jitterbug Smartphones,Lively,San Diego
211chico-16939,Mother To Baby California,Mother To Baby California,La Jolla
211chico-48738,Mothertobabyca.Org,Mother To Baby California,La Jolla
211onedegr-22007_211onedegr-16180,Get Support Services For Women In The Lgbt Community,The San Diego Lgbt Community Center,San Diego
211onedegr-22006_211onedegr-16180,Get Support Services For Individuals In The Transgender Community,The San Diego Lgbt Community Center,San Diego
211onedegr-22005_211onedegr-16180,Get Support Services For Seniors In The Lgbt Community,The San Diego Lgbt Community Center,San Diego
211onedegr-22004_211onedegr-16180,Attend Support Groups For Men In The Lgbt Community,The San Diego Lgbt Community Center,San Diego
211onedegr-19531_211onedegr-16180,Access A Free Computer Lab For The Lgbt Community,The San Diego Lgbt Community Center,San Diego
211onedegr-22477_211onedegr-10894,Get Remote Legal Services For Immigrants,Immigration Center For Women And Children (ICWC),San Diego
211onedegr-5208_211onedegr-10894,Apply For A T Or U Visa (VICTIMS OF TRAFFICKING AND VIOLENCE PROTECTION ACT),Immigration Center For Women And Children (ICWC),San Diego
211onedegr-2606_211onedegr-10894,Get Help Applying For Daca For Undocumented Youth,Immigration Center For Women And Children (ICWC),San Diego
211orangec-47995878,Native American Legal Assistance ,California Indian Legal Services,Escondido
211cheyenn-5117-4657,Mental Health Care Coordination,Care Solace,Encinitas
211sacrame-12782896,Support Services - Wounded Warrior Project,Wounded Warrior Project,San Diego
inlandempi-93981578,Residential Treatment,Healthright 360,Escondido
211tempe-1182-28664,"Debtwave Credit Counseling, Inc (CREDIT COUNSELING)",Debtwave Credit Counseling Inc,Escondido
211tempe-20476-28664,"Debtwave Credit Counseling, Inc (PERSONAL FINANCIAL COUNSELING)",Debtwave Credit Counseling Inc,Escondido
211tempe-6476-28664,"Debtwave Credit Counseling, Inc (DEBT CONSOLIDATION SERVICES)",Debtwave Credit Counseling Inc,Escondido
211tempe-85455-28664,"Debtwave Credit Counseling, Inc (NONGOVERNMENTAL AGENCY DEPARTMENTS)",Debtwave Credit Counseling Inc,Escondido
211utah-a008Z00001SynKyQAJ-0018Z00002q9ZPIQA2,Credit Counseling,Debt Management Credit Counseling,Escondido
211onedegr-1109_211onedegr-14066,Get Bankruptcy Counseling For Individuals,Money Management International,San Diego
211onedegr-1108_211onedegr-14066,Get Reverse Mortgage Counseling,Money Management International,San Diego
211chico-16249,Kick It Ca Counseling,Kick It Ca,
211chico-60428,Kick It Ca Counseling - Online Self Referral,Kick It Ca,
211onedegr-1106_211onedegr-14066,Get Student Loan Counseling,Money Management International,San Diego
211boise-877-1256,Autism Therapy,Autism Resources,San Diego
211santaba-92650337,Love On A Leash,Love On A Leash,Oceanside
211humbold-53773331,Canine Companions For Independence,Canine Companions For Independence,Oceanside
inlandempi-93955208,Adult Rehabilitation Center,Salvation Army Southern California,San Diego
211orangec-48057449,Southwest Training Center,Canine Companions For Independence,Oceanside
211peoria-4935-1187,Autism Research Institute (INFORMATION AND REFERRAL),Autism Research Institute,San Diego
211peoria-4906-1187,Autism Research Institute (DISABILITY ASSOCIATIONS),Autism Research Institute,San Diego
211orlando-330508,Service Dogs,Little Angels Service Dogs,
211akron-279147,Skip'S Kids Program,Semper Fi Fund,Oceanside
211yolo-75423124,Support Services - Wounded Warrior Project,Wounded Warrior Project,San Diego
211orangec-48162246,Post Abortion Support,Your Abortion Experience,
211orangec-71622543,Burial Benefits,United States Department Of Veterans Affairs,San Diego
211grassva-79139806,Addiction Treatment Via Telemedicine - Recover,Recover,Cardiff By The Sea
211orangec-72453158,Indepth,American Lung Association In California - Orange County,San Diego
211kansasc-104122-38449,Identity Theft Resource Center (IDENTITY THEFT REPORTING/RECOVERY PROGRAMS),Identity Theft Resource Center,San Diego
211akron-279155,Veteran To Veteran Support Program (V2V),Semper Fi Fund,Oceanside
211sacrame-15436614,Benefit Assistance - The Light For Seniors,The Light For Seniors,San Diego
211yolo-79540393,Benefit Assistance - The Light For Seniors,The Light For Seniors,San Diego
211tempe-79021-38611,Identity Theft Resource Center (IDENTITY THEFT REPORTING/RECOVERY PROGRAMS),Identity Theft Resource Center,El Cajon
211sofcali-55305652,Benefits Consultation And Processing,Light For Seniors,San Diego
211atlanta-5181,Services,Lilly Cares Foundation Patient Assistance Program,La Jolla
211humbold-7158288,Mother To Baby,Mother To Baby,La Jolla
211sofcali-55503112,Mothertobaby,Mothertobaby,La Jolla
211neworle-sal_1365e4b1b1de49919f1c_4htv0k,Lilly Cares - Eli Lilly Patient Assistance Program,Lilly Cares - Eli Lilly Patient Assistance Program,San Diego
211fargo-20306512,Bdf,Brown Dog Foundation Inc.,Carlsbad
211northca-89097523,Lilly Cares Foundation,Lilly Cares Foundation,San Diego
211humbold-25411230,California Smokers Helpline,California Smoker'S Helpline ,La Jolla
211chico-52424,Constituent Services,United States Senate,San Diego
211chico-52420,Constituent Services,United States Senate,San Diego
211contrac-3712-727,Kick It California (SMOKING/VAPING CESSATION),University Of California San Diego Cancer Center,La Jolla
211chico-62168,Kickcancer,Kickcancer,Solana Beach
211orangec-72453183,Tobacco Cessation Programs,American Lung Association In California - Orange County,San Diego
211sacrame-16736905,Tobacco Quitline - Kick It California,Kick It California,
211yolo-25408234,Tobacco Quitline - Kick It California,Kick It California,
211modesto-60825942,Pregnancy Health Information,Mothertobaby Ca,La Jolla
211tularec-14713369,Mothertobaby Ca,Mothertobaby Ca,
211mountai-55058854,Smokers Helpline,Kick It California,La Jolla
211sanjoaq-94340592,Kick It Ca (FORMERLY CALIFORNIA SMOKERS' HELPLINE),Kick It California (FORMERLY CALIFORNIA SMOKERS' HELPLINE),La Jolla
211yolo-69238636,Asian Smokers' Quitline - Kick It California,Kick It California,
211sacrame-54147561,Asian Smokers' Quitline - Kick It California,Kick It California,
211akron-279156,Semper Fi Fund Apprenticeship Program,Semper Fi Fund,Oceanside
211sofcali-55594516,Immigration And Naturalization Adjudication Services,United States Citizenship And Immigration Services (USCIS),San Diego
211sofcali-43327885,Autism Information And Referral,Autism Research Institute,San Diego
inlandempi-73501493,Advocacy Services,Ask My Advocate,San Diego
inlandempi-7428732,Canine Companions ,Canine Companions ,Oceanside
211baltimo-72714837,"Identity Theft Resource Center, Training",Identity Theft Resource Center,El Cajon
211baltimo-72709284,"Identity Theft Resource Center, Id Theft Counseling",Identity Theft Resource Center,El Cajon
211neworle-sal_1365e4b1b1de49919f1c_y1rroq,National Next Of Kin Registry,National Next Of Kin Registry,Bonita
211onedegr-9046_211onedegr-19487,Join A Homebuyer Class ,Operation Hope,Escondido
211cheyenn-5092-4637,Free Online Course Library,Psych/Armor,San Diego
211cedarkn-63469255,Self-Paced Online Courses,Psycharmor Institute,San Diego
211boise-1254-4110,Voluntary Health Organizations,National Hotlines,Calabasas Hills
211onedegr-1247_211onedegr-19593,Get Early Employment Services For Refugees In The United States ,International Rescue Committee,San Diego
211humbold-69819407,Tootris,Tootris,San Diego
211onedegr-5983_211onedegr-4132,File A Claim To Get Unpaid Wages,California Department Of Industrial Relations,San Diego
211onedegr-1248_211onedegr-19593,Get Career-Based Training For Refugees In The United States,International Rescue Committee,San Diego
211onedegr-8829_211onedegr-17086,Enroll In A Child Development Program For Children Under 6,Mexican American Opportunity Foundation (MAOF),Chula Vista
211onedegr-8829_211onedegr-17093,Enroll In A Child Development Program For Children Under 6,Mexican American Opportunity Foundation (MAOF),San Ysidro
211akron-279154,Education And Career Assistance,Semper Fi Fund,Oceanside
211norcal-32723999,Psycharmor Institute,Psycharmor Institute,San Diego
211santaba-32989182,Self-Paced Online Courses,Psycharmor Institute,San Diego
inlandempi-80290981,Brain Injury Resources,San Diego Brain Injury Foundation,San Diego
inlandempi-7432172,Lead Poisoning Prevention,United States Environmental Protection,San Diego
inlandempi-93681415,Immigration Legal Services,Immigration Center For Women And Children,San Diego
211minneap-96372676,Privacy Rights Education,Privacy Rights Clearinghouse,San Diego
211kansasc-95271-35957,Psycharmor Institute (CONTINUING EDUCATION),Psycharmor Institute,San Diego
211onedegr-1110_211onedegr-14066,Participate In A Bankruptcy Pre-Discharge Education Program,Money Management International,San Diego
211orlando-332024,Lennox Gastaut Syndrome,Lennox Gastaut Syndrome Foundation Lsg,San Diego
211kansasc-104123-38449,Identity Theft Resource Center (IDENTITY THEFT PREVENTION),Identity Theft Resource Center,San Diego
211fargo-64580888,Itrc,Identity Theft Resource Center,El Cajon
211chico-53230,The Center For Tobacco Cessation,Kick It Ca,
211onedegr-20894_211onedegr-15808,Get Financial Literacy Services,Lutheran Social Services - San Diego,San Diego
211onedegr-1119_211onedegr-19487,Get Financial Counseling,Operation Hope,Escondido
211onedegr-16651_211onedegr-19487,Get Financial Advice For Your Small Business,Operation Hope,Escondido
211onedegr-8367_211onedegr-19487,Get Help Improving Your Credit Score,Operation Hope,Escondido
211tularec-6015905,California Smokers Helpline ,California Smokers' Helpline,La Jolla
211sofcali-54658615,Human Trafficking Hotline,Bilateral Safety Corridor Coalition (BSCC),National City
211kansasc-95270-35957,Psycharmor Institute (SPECIALIZED INFORMATION AND REFERRAL),Psycharmor Institute,San Diego
211sofcali-95452688,Alertcalifornia,"University Of California, San Diego (UCSD)",
211sofcali-81798552,Kick It California,"University Of California, San Diego (UCSD)",
inlandempi-78920133,Court Appointed Special Advocates,Voices For Children,San Diego
211orangec-71622548,Veterans Affairs Dependency And Indemnity Compensation ,United States Department Of Veterans Affairs,San Diego
211northca-83260456,American Society For The Positive Care Of Children,American Society For The Positive Care Of Children,Carlsbad
211onedegr-9961_211onedegr-16545,Get Childcare Assistance For Female Veterans,Foundation For Women Warriors (FORMERLY MILITARY WOMEN IN NEED),Carlsbad
211orlando-357141,Challenge By Choice,Camp Hope America,San Diego
211grassva-30602661,Operation Homefront,Operation Homefront,San Diego
211chico-48934,Benefits Assistance,Operation Homefront,San Diego
211onedegr-12065_211onedegr-12016,Get One-On-One Counseling For Individuals With Multiple Sclerosis,National Multiple Sclerosis Society,San Diego
inlandempi-7428724,Legal Services,California Indian Legal Services,Escondido
inlandempi-76535926,Gogograndparent,Gogograndparent,Bonita
211grassva-4663870,Smart Driver - Aarp,Aarp-American Association Of Retired Persons,
211pensaco-1374-1104,Identity Theft Resource Center Us Hotline,Directory Of Hotlines,San Diego
211chico-48027,Kickitca.Org,Kick It Ca,
inlandempi-73499920,Social Security Applications Assistance,Jorgensen Law,San Diego
211orangec-94653704,Al Otro Lado,Al Otro Lado,San Ysidro
211onedegr-511_211onedegr-17668,Attend Workshops For Artists,California Lawyers For The Arts,San Diego
211sofcali-82070947,Office Of The Attorney General,California Department Of Justice (DOJ),San Diego
211sofcali-82070932,Megan'S Law Registry And Notification,California Department Of Justice (DOJ),San Diego
211connect-17292022,Identity Theft Reporting,Identity Theft Resource Center,El Cajon
211connect-17292016,Identity Theft Prevention And Dealing With Identity Theft,Identity Theft Resource Center,El Cajon
211portlan-117807,Identity Theft Resource Center,Identity Theft Resource Center,
211madison-46219-26870,Identity Theft Services,Identity Theft Resource Center,El Cajon
211akron-218070,Itrc Victim Assistance Center,Identity Theft Resource Center,El Cajon
211sofcali-62556408,Victim/Consumer Direct Assistance ,Identity Theft Resource Center,El Cajon
211orangec-71615269,Regional Benefits Administration,United States Department Of Veterans Affairs,San Diego
211boise-13728-3403,Consumer Safety Standards,National Hotlines,San Diego
211lasvega-50025395,Suicide Prevention Line,Suicide Org,Chula Vista
211orangec-47982604,Coast Guard - Orange County Recruitment ,United States Armed Forces Recruitment - Orange County,San Diego
211modesto-38012719,Tobacco Chewers Helpline,California Smokers Helpline,La Jolla
211grassva-50058908,Free Quit Smoking/Quit Vaping Services - Kic,Kick It California,La Jolla
211onedegr-1104_211onedegr-14066,Enroll In A Debt Management Plan To Resolve Your Credit Problems,Money Management International,San Diego
211onedegr-1105_211onedegr-14066,Get A Free One-On-One Credit Report Review,Money Management International,San Diego
211utah-a008Z00001SynKzQAJ-0018Z00002q9ZPIQA2,Debt Consolidation Services,Debt Management Credit Counseling,Escondido
211mountai-31305560,211 San Diego County,2-1-1 California County Transfer Directory,San Diego
inlandempi-7428917,Information And Referral,211 San Diego,San Diego
211albuque-73779278,211 Systems,San Diego 2-1-1,San Diego
211northca-73790759,Identity Theft Resource Center,Identity Theft Resource Center,El Cajon
211tempe-79020-38611,Identity Theft Resource Center (IDENTITY THEFT PREVENTION),Identity Theft Resource Center,El Cajon
211tempe-79018-38611,Identity Theft Resource Center (NONGOVERNMENTAL AGENCY DEPARTMENTS),Identity Theft Resource Center,El Cajon
211atlanta-92793,Services,U.S. Department Of State,San Diego
211montgom-39168761,Advocacy Services,Privacy Rights Clearinghouse,San Diego
211sofcali-55485704,Multiple Sclerosis Navigators,National Multiple Sclerosis Society,San Diego
211minneap-36876749,Eating Disorder Referral And Information Center,Eating Disorder Referral And Information Center,Del Mar
211akron-218065,Identity Theft Prevention,Identity Theft Resource Center,El Cajon
